browse
boutique
workshop
store
buy at
bodega
bazaar
delicatessen
toyshop
shoeshop
shopfront
bakery
barbershop
storefront
bookstore
deli
pawnshop
patronize
mall
mercantilism
commerce
commercialism
millinery
outfitter
mercantile establishment
package store
food
retail
chain
antique
buy
commissary
gift shop
purchase
salesman
grass
snitch
window-shopping
sponsoring
patronizing
